CustomerID,FirstName,LastName,Email,Phone
87,Kristi,Daniel,customer87@example.com,+1-119-577-2668x50716
88,Barbara,Avila,customer88@example.com,025.462.6841x91792
89,Tammy,Smith,customer89@example.com,+1-798-792-6997x17857
90,Alicia,Hendricks,customer90@example.com,(974)154-7943x5202
91,Ashley,Simon,customer91@example.com,+1-909-459-3060x5211
92,David,Clark,customer92@example.com,764.361.2833x14824
93,Catherine,Gonzalez,customer93@example.com,500.665.7653
94,Brandon,Copeland,customer94@example.com,+1-661-108-6625
95,Nathan,Butler,customer95@example.com,+1-196-234-8024
96,Katherine,Wood,customer96@example.com,(465)374-2159x31027
97,Carl,Bailey,customer97@example.com,(806)158-6499
98,Curtis,Lopez,customer98@example.com,390.651.5561
99,Kayla,Braun,customer99@example.com,439.488.4953x016
100,Andrea,Glover,customer100@example.com,395-240-8382
